Gün,Ay,Yıl,Anket Şirketi,Chandler,Joey,Kararsız,Fark,Orneklem Kümesi
15,07,2020,PublicVIEW,40.8,42.2,17.0,1.8,2000
01,08,2020,TrendPULSE,38.9,44.0,17.0,5.1,1800
15,08,2020,DataMOTION,42.8,41.2,16.0,1.6,2200
01,09,2020,InsightINSIGHT,37.0,45.0,18.0,8.0,1600
15,09,2020,PulseVIEW,41.5,41.0,17.5,0.5,2200
01,10,2020,SurveySENSO,45.0,37.0,18.0,8.0,1200
15,10,2020,DataVIEW,40.0,44.0,16.0,4.0,1900
01,11,2020,SocialPOLL,40.5,43.5,16.0,3.0,1700
15,11,2020,PublicMETRICS,43.5,39.5,17.0,4.0,2300
01,12,2020,TrendSENSO,43.0,39.0,18.0,4.0,1500
01,01,2019,InsightPOLL,39.5,42.5,18.0,4.5,1700
15,01,2019,StatsTRACK,43.0,39.0,18.0,4.0,2200
01,02,2019,TrendMETRIX,40.5,42.0,17.5,2.5,2600
15,02,2019,DataDYNAMICS,44.5,37.5,18.0,7.0,1900
01,03,2019,InsightGLOBE,38.0,44.5,17.5,6.5,1800
15,03,2019,PulseMATRIX,41.5,41.5,16.5,1.5,2400
01,04,2019,SurveySPOT,46.5,35.5,18.0,11.0,1300
15,04,2019,DataSTREAM,39.0,44.0,16.5,4.0,2000
01,05,2019,InsightEDGE,39.0,44.0,17.0,4.0,1900
15,05,2019,TrendTRACK,42.5,41.5,15.0,1.0,2500
01,06,2019,GlobalPOLL,41.5,43.0,15.5,2.5,1600
15,06,2019,OpinionMETRE,43.5,38.5,18.0,5.0,2200
01,07,2019,SocialSURVEY,46.0,36.0,17.5,9.5,1500
15,07,2019,PublicVIEW,41.0,42.5,16.5,1.5,2100
01,08,2019,TrendPULSE,39.5,43.5,17.0,4.0,1900
15,08,2019,DataMOTION,43.0,40.0,17.0,3.0,2300
01,09,2019,InsightINSIGHT,37.5,45.0,17.5,7.5,1700
15,09,2019,PulseVIEW,41.8,41.2,17.0,1.8,2400
01,10,2019,SurveySENSO,45.2,37.8,18.0,7.4,1300
15,10,2019,DataVIEW,40.8,42.2,16.5,1.8,2000
01,11,2019,SocialPOLL,40.5,43.5,16.0,3.0,1800
15,11,2019,PublicMETRICS,43.0,40.5,16.5,3.5,2400
01,12,2019,TrendSENSO,43.5,39.5,17.0,4.0,1600
